,y,no init,sh,q,r,b,j,l,d,k,g,t,c,zh,x,ch,f,w,m,p,h,n,z,s
total,"j: 147/182, ng: 20/182, w: 11/182, : 2/182, f: 1/182, d: 1/182","ng: 14/20, j: 4/20, : 1/20, n: 1/20","s: 111/118, c: 4/118, l: 1/118, b: 1/118, h: 1/118","k: 30/86, c: 27/86, h: 20/86, j: 4/86, kw: 3/86, w: 1/86, s: 1/86","j: 38/42, s: 2/42, w: 1/42, n: 1/42","b: 81/89, p: 4/89, f: 1/89, g: 1/89, s: 1/89, z: 1/89","g: 100/155, z: 38/155, k: 10/155, gw: 4/155, c: 1/155, b: 1/155, l: 1/155","l: 138/139, j: 1/139","d: 87/89, h: 1/89, t: 1/89","h: 17/44, f: 13/44, kw: 9/44, k: 5/44","g: 57/87, gw: 23/87, k: 3/87, kw: 1/87, p: 1/87, f: 1/87, w: 1/87","t: 98/102, j: 2/102, d: 2/102","c: 46/48, s: 2/48","z: 131/139, c: 4/139, d: 2/139, s: 1/139, h: 1/139","s: 58/145, h: 46/145, j: 14/145, z: 11/145, c: 9/145, f: 3/145, k: 2/145, kw: 1/145, ng: 1/145","c: 55/69, s: 13/69, z: 1/69","f: 64/68, g: 2/68, p: 1/68, m: 1/68","w: 35/82, m: 23/82, ng: 16/82, j: 6/82, : 2/82","m: 88/90, g: 1/90, j: 1/90","p: 60/66, b: 4/66, n: 1/66, z: 1/66","w: 45/101, h: 38/101, f: 15/101, gw: 1/101, z: 1/101, t: 1/101","n: 35/41, j: 3/41, ng: 1/41, t: 1/41, l: 1/41","z: 56/59, c: 3/59","s: 42/51, z: 4/51, c: 3/51, b: 1/51, f: 1/51"
i,"j: 29/33, ng: 4/33",,"s: 28/31, c: 2/31, b: 1/31","c: 7/23, h: 7/23, k: 7/23, j: 1/23, kw: 1/23",j: 1/1,"b: 17/18, p: 1/18","g: 20/28, z: 6/28, k: 1/28, gw: 1/28",l: 23/23,"d: 7/8, t: 1/8",,,t: 11/11,c: 8/8,"z: 29/31, c: 1/31, d: 1/31","s: 13/23, h: 5/23, z: 3/23, k: 2/23",c: 8/8,,,m: 5/5,"p: 11/12, b: 1/12",,n: 3/3,z: 9/9,"s: 5/7, z: 1/7, b: 1/7"
ou,j: 16/16,"ng: 2/3, : 1/3",s: 8/8,,j: 4/4,,,l: 4/4,d: 6/6,"k: 3/4, h: 1/4","f: 1/2, g: 1/2",t: 2/2,c: 1/1,"z: 7/8, h: 1/8",,"c: 4/5, s: 1/5",,,m: 2/2,p: 1/1,h: 5/5,,z: 3/3,s: 1/1
e,"j: 6/7, d: 1/7",ng: 8/8,"s: 5/6, c: 1/6",,j: 2/2,,,,d: 1/1,"f: 3/4, h: 1/4","g: 5/6, gw: 1/6",d: 1/1,c: 2/2,"z: 5/6, c: 1/6",,c: 4/4,,,,,"h: 2/3, w: 1/3",,z: 2/2,s: 1/1
จนn,"w: 5/6, j: 1/6",,,kw: 2/2,,,"z: 3/5, gw: 2/5",,,,,,,,"s: 5/11, c: 4/11, f: 2/11",,,,,,,,,
a,"ng: 7/8, : 1/8",,s: 5/5,,,"b: 8/9, f: 1/9",,l: 1/1,d: 1/1,,,t: 1/1,,z: 4/4,,c: 2/2,f: 5/5,w: 3/3,m: 5/5,p: 3/3,,n: 3/3,z: 2/2,s: 2/2
จนe,"j: 5/6, ng: 1/6",,,k: 4/4,,,"gw: 1/3, k: 1/3, z: 1/3",l: 2/2,,,,,,,"h: 2/5, s: 2/5, j: 1/5",,,,,,,j: 1/1,,
in,"j: 8/9, ng: 1/9",,,"k: 5/9, c: 3/9, j: 1/9",,b: 3/3,"g: 6/9, z: 3/9","l: 8/9, j: 1/9",,,,,,,"s: 5/6, j: 1/6",,,,m: 4/4,"p: 2/4, n: 1/4, b: 1/4",,n: 1/1,,
จน,"j: 22/25, w: 2/25, f: 1/25",,,"k: 2/4, c: 1/4, w: 1/4",,,"g: 7/12, k: 4/12, z: 1/12",l: 7/7,,,,,,,"s: 5/14, z: 3/14, h: 2/14, c: 2/14, j: 2/14",,,,,,,,,
ang,j: 13/13,,"s: 4/5, h: 1/5",,"j: 2/3, n: 1/3","b: 4/5, p: 1/5",,l: 6/6,d: 2/2,h: 2/2,g: 6/6,t: 9/9,c: 3/3,z: 9/9,,"c: 5/8, s: 3/8",f: 7/7,"m: 4/8, w: 4/8",m: 3/3,p: 2/2,h: 2/2,,z: 2/2,s: 1/1
ong,"j: 5/8, w: 3/8",,,,"j: 8/9, w: 1/9",,,l: 5/5,d: 6/6,h: 3/3,g: 11/11,t: 9/9,c: 4/4,z: 7/7,,"c: 2/3, s: 1/3",,,,,"h: 3/5, w: 1/5, gw: 1/5",n: 2/2,z: 4/4,"s: 3/5, z: 2/5"
an,"j: 18/22, ng: 4/22",ng: 1/1,s: 9/9,,j: 3/3,b: 6/6,,l: 10/10,d: 5/5,h: 2/2,g: 6/6,"t: 11/12, j: 1/12",c: 5/5,z: 10/10,,"c: 4/5, z: 1/5",f: 5/5,"w: 6/10, j: 3/10, m: 1/10",m: 4/4,"p: 5/7, b: 2/7",h: 13/13,n: 1/1,z: 3/3,s: 1/1
ao,"j: 11/13, ng: 2/13",ng: 1/1,s: 4/4,,j: 1/1,"b: 7/9, s: 1/9, p: 1/9",,l: 2/2,d: 7/7,"h: 1/2, k: 1/2",g: 6/6,t: 9/9,c: 4/4,"z: 6/7, s: 1/7",,c: 4/4,,,m: 6/6,p: 3/3,h: 7/7,n: 3/3,"z: 9/11, c: 2/11",s: 3/3
ing,"j: 13/16, ng: 1/16, : 1/16, w: 1/16",,,"h: 3/7, k: 2/7, c: 2/7",,b: 3/3,"g: 7/13, z: 4/13, b: 1/13, k: 1/13",l: 10/10,d: 2/2,,,t: 6/6,,,"j: 4/8, h: 2/8, s: 2/8",,,,"m: 3/4, g: 1/4",p: 3/3,,n: 2/2,,
er,,"j: 3/4, n: 1/4",,,,,,,,,,,,,,,,,,,,,,
en,,j: 1/1,s: 9/9,,j: 5/5,b: 2/2,,,,h: 2/2,g: 2/2,,,z: 9/9,,"c: 3/6, s: 3/6",f: 7/7,"m: 3/6, w: 3/6",m: 2/2,p: 1/1,h: 4/4,n: 1/1,z: 1/1,s: 1/1
ai,,ng: 2/2,s: 2/2,,,b: 1/1,,l: 2/2,d: 4/4,h: 2/2,"g: 2/3, k: 1/3",t: 6/6,c: 6/6,z: 6/6,,c: 1/1,,ng: 1/1,m: 2/2,p: 2/2,h: 2/2,n: 2/2,z: 5/5,"c: 1/2, s: 1/2"
ui,,,s: 3/3,,"j: 1/2, s: 1/2",,,,d: 1/1,"kw: 4/6, k: 1/6, f: 1/6","gw: 8/10, kw: 1/10, k: 1/10",t: 4/4,"c: 3/4, s: 1/4",z: 4/4,,s: 1/1,,,,,"f: 8/15, w: 7/15",,z: 4/4,"s: 6/7, c: 1/7"
eng,,,s: 3/3,,j: 1/1,b: 1/1,,l: 1/1,d: 5/5,h: 1/1,g: 2/2,t: 3/3,c: 1/1,"z: 6/7, c: 1/7",,c: 3/3,f: 10/10,"j: 2/3, : 1/3",m: 5/5,"p: 6/7, z: 1/7",,n: 1/1,z: 3/3,
uang,,,s: 2/2,,,,,,,f: 1/1,gw: 1/1,,,z: 6/6,,c: 3/3,,,,,"w: 7/9, f: 2/9",,,
u,,,"s: 20/21, c: 1/21",,"j: 6/7, s: 1/7",b: 5/5,,l: 11/11,d: 8/8,"f: 2/4, h: 2/4","g: 10/12, p: 1/12, k: 1/12","t: 7/9, j: 1/9, d: 1/9",c: 2/2,"z: 17/18, c: 1/18",,c: 6/6,"f: 24/26, p: 1/26, m: 1/26","m: 11/23, ng: 9/23, w: 2/23, : 1/23",m: 12/12,p: 5/5,"w: 11/13, f: 1/13, t: 1/13",n: 3/3,z: 6/6,"s: 7/9, z: 1/9, c: 1/9"
uai,,,"l: 1/2, s: 1/2",,,,,,,f: 3/3,gw: 3/3,,,,,,,,,,w: 5/5,,,
uan,,,s: 3/3,,j: 1/1,,,l: 2/2,d: 5/5,f: 2/2,"g: 6/8, gw: 2/8",t: 1/1,s: 1/1,z: 2/2,,"c: 3/4, s: 1/4",,,,,"w: 8/9, f: 1/9",,,s: 3/3
ua,,,s: 1/1,,,,,,,kw: 2/2,gw: 4/4,,,,,,,,,,w: 2/2,,,
un,,,s: 3/3,,j: 2/2,,,l: 4/4,d: 1/1,kw: 3/3,gw: 1/1,t: 2/2,c: 3/3,z: 1/1,,"c: 3/6, s: 3/6",,,,,"z: 1/3, f: 1/3, w: 1/3",,,s: 2/2
uo,,,s: 1/1,,j: 1/1,,,l: 5/5,d: 6/6,f: 1/1,"gw: 3/4, w: 1/4",t: 7/7,c: 4/4,"z: 3/4, d: 1/4",,,,,,,"f: 2/4, w: 2/4",n: 4/4,z: 3/3,"s: 5/6, f: 1/6"
ian,,,,"c: 5/11, h: 4/11, k: 2/11",,"b: 4/6, z: 1/6, p: 1/6","g: 16/24, z: 6/24, c: 1/24, l: 1/24",l: 10/10,"d: 8/9, h: 1/9",,,t: 6/6,,,"h: 8/16, j: 5/16, s: 3/16",,,,m: 7/7,p: 4/4,,"n: 3/6, t: 1/6, j: 1/6, l: 1/6",,
iu,,,,"j: 2/6, k: 2/6, c: 2/6",,,"g: 8/13, z: 3/13, k: 2/13",l: 8/8,d: 1/1,,,,,,"s: 5/7, j: 1/7, z: 1/7",,,,m: 1/1,,,"n: 3/4, ng: 1/4",,
iao,,,,"c: 5/11, k: 4/11, h: 2/11",,b: 4/4,"g: 9/12, z: 3/12",l: 6/6,d: 6/6,,,t: 2/2,,,"s: 9/14, h: 4/14, ng: 1/14",,,,"m: 6/7, j: 1/7",p: 2/2,,,,
iong,,,,k: 2/2,,,,,,,,,,,h: 7/7,,,,,,,,,
iang,,,,"c: 2/3, h: 1/3",,,"g: 6/11, z: 5/11",l: 7/7,,,,,,,"s: 5/14, c: 3/14, h: 3/14, z: 3/14",,,,,,,j: 1/1,,
ia,,,,h: 2/2,,,g: 10/10,,,,,,,,h: 7/7,,,,,,,,,
ie,,,,"s: 1/2, h: 1/2",,b: 2/2,"g: 11/15, z: 3/15, k: 1/15",l: 2/2,d: 5/5,,,t: 2/2,,,"h: 6/13, s: 4/13, f: 1/13, z: 1/13, kw: 1/13",,,,m: 2/2,,,n: 3/3,,
o,,,,,,b: 9/9,,,,,,,,,,,,"ng: 2/5, w: 2/5, j: 1/5",m: 8/8,p: 3/3,,,,
ei,,,,,,"b: 5/6, g: 1/6",,l: 2/2,,,,,,,,,"f: 6/8, g: 2/8","w: 15/23, m: 4/23, ng: 4/23",m: 11/11,p: 7/7,,,c: 1/1,
